ИД,Город,Население,Площадь,Есть аэропорт
600,Балахна,51526,48.000000,false
601,Богородск,25497,39.200000,false
602,Бор,78079,147.000000,true
603,Ветлуга,8956,18.200000,false
604,Володарск,9924,24.970000,false
605,Ворсма,11622,22.800000,false
606,Выкса,56196,35.650000,false
607,Горбатов,2278,176.708000,false
608,Городец,30699,124.000000,false
609,Дзержинск,240762,421.000000,false
610,Заволжье,40265,20.100000,false
611,Княгинино,6708,10.900000,false
612,Кстово,66641,18.000000,false
613,Кулебаки,35762,938.900000,false
614,Лукоянов,14949,57.300000,false
615,Лысково,21882,2.330000,false
616,Навашино,16413,13.000000,false
617,Нижний Новгород,1250615,410.600000,true
618,Павлово,60699,39.000000,false
619,Первомайск,14567,1227.000000,false
620,Перевоз,9201,74.190000,false
621,Саров,92073,232.000000,false
622,Семенов,24472,14.000000,false
623,Сергач,21387,20.000000,false
624,Урень,12311,100.000000,false
625,Чкаловск,12371,7.000000,false
626,Шахунья,21337,2.590000,false
627,Боровичи,54731,45.410000,false
628,Валдай,16099,28.400000,false
629,Великий Новгород,218724,90.080000,false
630,Малая Вишера,12461,29.000000,false
631,Окуловка,12464,27.400000,false
632,Пестово,15911,15.100000,false
633,Сольцы,10317,10.150000,false
634,Старая Русса,32235,18.540000,false
635,Холм,3829,9.000000,false
636,Чудово,16148,14.000000,false
637,Барабинск,30250,70.000000,false
638,Бердск,98809,70.000000,false
639,Болотное,16969,59.000000,false
640,Искитим,60072,30.000000,false
641,Карасук,28929,35.800000,false
642,Каргат,10620,69.000000,false
643,Куйбышев,47278,109.000000,false
644,Купино,15448,32.000000,false
645,Новосибирск,1498921,505.600000,true
646,Обь,26137,21.900000,false
647,Татарск,26114,80.000000,false
648,Тогучин,21531,81.000000,false
649,Черепаново,19346,20.000000,false
650,Чулым,11964,203.000000,false
651,Исилькуль,25905,139.000000,false
652,Калачинск,24000,24.000000,false
653,Называевск,12119,68.700000,false
654,Омск,1154000,572.900000,true
655,Тара,26664,118.000000,false
656,Тюкалинск,12050,44.600000,false
657,Абдулино,20663,47.000000,false
658,Бугуруслан,52249,76.000000,true
659,Бузулук,82816,54.000000,false
660,Гай,38302,62.100000,false
661,Кувандык,26176,42.060000,false
662,Медногорск,27253,91.330000,false
663,Новотроицк,97914,305.000000,false
664,Оренбург,570329,259.000000,true
665,Орск,238006,621.330000,true
666,Соль-Илецк,26308,185.000000,false
667,Сорочинск,30136,56.000000,false
668,Ясный,16082,67.000000,false
669,Болхов,11421,11.870000,false
670,Дмитровск,5956,6.000000,false
671,Ливны,50430,32.100000,false
672,Малоархангельск,3872,3.440000,false
673,Мценск,43216,20.810000,false
674,Новосиль,3799,5.000000,false
675,Орёл,317854,121.000000,true
676,Белинский,8567,8.000000,false
677,Городище,8102,9.390000,false
678,Заречный,63579,29.300000,false
679,Каменка,39579,31.800000,false
680,Кузнецк,88886,23.000000,false
681,Нижний Ломов,22678,12.000000,false
682,Никольск,22471,12.700000,false
683,Пенза,519592,290.377000,true
684,Сердобск,35393,28.420000,false
685,Спасск,7442,5.740000,false
686,Сурск,7032,5.000000,false
687,Александровск,15022,331.000000,false
688,Березники,156350,66.000000,false
689,Верещагино,22760,97.021000,false
690,Горнозаводск,12334,7.100000,false
691,Гремячинск,11005,65.000000,false
692,Губаха,27544,42.900000,false
693,Добрянка,35720,498.240000,false
694,Кизел,20277,75.810000,false
695,Красновишерск,17129,24.000000,false
696,Краснокамск,52632,95.800000,false
697,Кудымкар,30711,25.000000,false
698,Кунгур,67857,68.700000,false
699,Лысьва,67712,26.430000,false
700,Нытва,19041,25.300000,false
701,Оса,22420,105.700000,false
702,Оханск,7597,0.000000,false
703,Очер,15003,39.000000,false
704,Пермь,1000679,799.680000,true
705,Соликамск,97239,167.000000,false
706,Усолье,5694,16.000000,false
707,Чайковский,82933,31.000000,false
708,Чердынь,4920,15.000000,false
709,Чермоз,4017,7.200000,false
710,Чернушка,33275,29.100000,false
711,Чусовой,46740,95.000000,false
712,Арсеньев,56742,39.400000,false
713,Артем,102636,506.000000,false
714,Большой Камень,39257,119.800000,false
715,Владивосток,592069,331.160000,true
716,Дальнегорск,37503,31.000000,false
717,Дальнереченск,27601,111.000000,false
718,Лесозаводск,36975,71.000000,false
719,Находка,159695,325.900000,false
720,Партизанск,38648,126.000000,false
721,Спасск-Дальний,44166,49.000000,false
722,Уссурийск,157946,173.000000,false
723,Фокино,23683,16.000000,false
724,Великие Луки,98778,60.000000,true
725,Гдов,4379,5.000000,false
726,Дно,9061,13.800000,false
727,Невель,16324,23.000000,false
728,Новоржев,3695,8.000000,false
729,Новосокольники,8119,16.100000,false
730,Опочка,11601,23.910000,false
731,Остров,21670,2435.560000,false
732,Печоры,12308,21.000000,false
733,Порхов,10608,53.254000,false
734,Псков,203974,96.000000,true
735,Пустошка,4619,11.000000,false
736,Пыталово,5826,0.000000,false
737,Себеж,6375,8.000000,false
738,Азов,82882,66.000000,false
739,Аксай,41984,67.500000,false
740,Батайск,112400,77.680000,false
741,Белая Калитва,43688,16.495000,false
742,Волгодонск,170621,1823.000000,false
743,Гуково,67268,40.000000,false
744,Донецк,50085,358.000000,false
745,Зверево,22416,31.000000,false
746,Зерноград,26850,12.360000,false
