Город,Население,Площадь,Есть аэропорт
Калтан,21893,32.400000,false
Кемерово,532884,282.000000,false
Киселевск,98382,160.000000,false
Ленинск-Кузнецкий,101666,112.700000,false
Мариинск,40522,57.200000,false
Междуреченск,101995,48.000000,false
Мыски,43029,108.700000,false
Новокузнецк,547885,424.270000,false
Осинники,45997,81.000000,false
Полысаево,27624,49.295000,false
Прокопьевск,210150,227.500000,false
Салаир,8263,39.800000,false
Тайга,25330,553.000000,false
Таштагол,23114,79.000000,false
Топки,28642,51.700000,false
Юрга,81536,45.000000,false
Белая Холуница,11232,12.000000,false
Вятские Поляны,35159,28.340000,false
Зуевка,11198,40.000000,false
Киров,473668,169.730000,false
Кирово-Чепецк,80920,52.000000,false
Кирс,10420,1347.000000,false
Котельнич,24979,32.000000,false
Луза,11262,303.000000,false
Малмыж,8265,2196.380000,false
Мураши,6752,665.000000,false
Нолинск,9556,6.300000,false
Омутнинск,23618,50.000000,false
Орлов,6959,4.000000,false
Слободской,33983,44.000000,false
Советск,16592,44.400000,false
Сосновка,11960,120.800000,false
Уржум,10213,10.000000,false
Яранск,17252,18.000000,false
Воркута,70551,29.800000,false
Вуктыл,12357,22.453000,false
Емва,14574,61.300000,false
Инта,32021,350.000000,false
Микунь,10732,13.900000,false
Печора,43458,28.900000,false
Сосногорск,27809,24.900000,false
Сыктывкар,235006,152.000000,false
Усинск,41100,152.000000,false
Ухта,99642,0.000000,false
Буй,25763,21.200000,false
Волгореченск,17108,17.830000,false
Галич,17346,16.500000,false
Кологрив,3314,6.000000,false
Кострома,268617,144.500000,false
Макарьев,7114,30.000000,false
Мантурово,17479,16.000000,false
Нерехта,22817,17.200000,false
Нея,9827,82.403000,false
Солигалич,6438,8.000000,false
Чухлома,5209,7.000000,false
Шарья,23668,26.000000,false
Абинск,34926,22.000000,false
Анапа,58983,40.000000,false
Апшеронск,40229,28.000000,false
Армавир,188897,280.000000,false
Белореченск,53891,56.000000,false
Геленджик,54813,123.000000,false
Горячий Ключ,30093,18.000000,false
Гулькевичи,35225,21.000000,false
Ейск,87771,140.000000,false
Кореновск,41179,247.000000,false
Краснодар,744933,339.310000,false
Кропоткин,80743,83.500000,false
